thing,date__Concat
http://rdfh.ch/081C/IVX4abRPQlW2DY2hvZW4Nw,http://rdfh.ch/081C/IVX4abRPQlW2DY2hvZW4Nw/values/jG0jqKqnThewMWozVWMhYA
http://rdfh.ch/081C/KR1Kj8izQ6yww6aJ0zkliQ,http://rdfh.ch/081C/KR1Kj8izQ6yww6aJ0zkliQ/values/obHHyLPvSGyE36dMx57dpQ
http://rdfh.ch/081C/hNyEh8e9TgejRXeoX4w3Mw,http://rdfh.ch/081C/hNyEh8e9TgejRXeoX4w3Mw/values/AVNieiWVT0m3OPE4aQKUPQ
http://rdfh.ch/081C/pHZzWTd6T96s4u9wJa4ktA,http://rdfh.ch/081C/pHZzWTd6T96s4u9wJa4ktA/values/h2dFD0mPQp-QtWE7U8m6VQ
http://rdfh.ch/081C/pjnxWWkqS8uO4IPxWWRqOQ,http://rdfh.ch/081C/pjnxWWkqS8uO4IPxWWRqOQ/values/ZlmTk3rLSriqJT8MrCdCWw
http://rdfh.ch/081C/tQ2Bkhp6T4uUgPqSfbvuCg,http://rdfh.ch/081C/tQ2Bkhp6T4uUgPqSfbvuCg/values/-A0NPHRzS5mGb0FiU_7Mow
http://rdfh.ch/081C/A2ftQutYSMuCplKp8nwpSQ,http://rdfh.ch/081C/A2ftQutYSMuCplKp8nwpSQ/values/BA2yT9XhSwu0fxmKqjGCRw
http://rdfh.ch/081C/2Mh0G292SIKdE7dfk7Vh_w,http://rdfh.ch/081C/2Mh0G292SIKdE7dfk7Vh_w/values/GgcwkwCmTAOfC-BVxGy7Dw
http://rdfh.ch/081C/pWnkg0QRTYeIlV39WIcYMg,http://rdfh.ch/081C/pWnkg0QRTYeIlV39WIcYMg/values/h94z1CTdQkmuE6EgZvHtdQ
http://rdfh.ch/081C/sdIDEEpHQjWaA4itcCVcWA,http://rdfh.ch/081C/sdIDEEpHQjWaA4itcCVcWA/values/owFZ49hFT6i-QPRRXflQ7w
http://rdfh.ch/081C/SyOjRq3DSOiSsfiWFW8gCg,http://rdfh.ch/081C/SyOjRq3DSOiSsfiWFW8gCg/values/yaCGU27YQUeOnByL-W0BNw
http://rdfh.ch/081C/ijekYaQKRhi_o7HJcfM5PQ,http://rdfh.ch/081C/ijekYaQKRhi_o7HJcfM5PQ/values/3CETRdt6SwWPlomfPsidIg
http://rdfh.ch/081C/0-gDsQfiQvWwaeGy_R4txw,http://rdfh.ch/081C/0-gDsQfiQvWwaeGy_R4txw/values/P2cT2Mq7SZuYNKozfpFY1w
http://rdfh.ch/081C/yhSrWyHNRBuYHI-IUR1woQ,http://rdfh.ch/081C/yhSrWyHNRBuYHI-IUR1woQ/values/I6j4SrJFQ_iS5Ry9BonWdg
http://rdfh.ch/081C/oSzraFv7RTeLIlspdLVTCQ,http://rdfh.ch/081C/oSzraFv7RTeLIlspdLVTCQ/values/Zx28k5DwTlO1OqQFf3cijQ
http://rdfh.ch/081C/IvkbRyElRKeLclEydPxj0w,http://rdfh.ch/081C/IvkbRyElRKeLclEydPxj0w/values/Tp78DQwHQx6hzqzAfy5nFA
http://rdfh.ch/081C/_nAVE237QCS0Xf5NDoYPgQ,http://rdfh.ch/081C/_nAVE237QCS0Xf5NDoYPgQ/values/48yG5pzlSGaN_wA3qOTvTA
http://rdfh.ch/081C/JkAFDkE7Tr2Boi2MCArwyA,http://rdfh.ch/081C/JkAFDkE7Tr2Boi2MCArwyA/values/giZh8Tv8Rae3OaJDM-fAng
http://rdfh.ch/081C/KsbYjzCZTL-fZ6snELIdyw,http://rdfh.ch/081C/KsbYjzCZTL-fZ6snELIdyw/values/hWU0HDfcQZ6Kt7vy0XwrLA
http://rdfh.ch/081C/tCIXhmbgSwCEgd7EEQlsFg,http://rdfh.ch/081C/tCIXhmbgSwCEgd7EEQlsFg/values/BNfZfNlvSJW0llOYKuqI2A
http://rdfh.ch/081C/TjR7RNvMQuGbMLcxcLU3QQ,http://rdfh.ch/081C/TjR7RNvMQuGbMLcxcLU3QQ/values/CbGk1ECnT4y5tDivlWWDKA
http://rdfh.ch/081C/PqAq9gvVTFq2i-eNlNenww,http://rdfh.ch/081C/PqAq9gvVTFq2i-eNlNenww/values/ZzwalmwcQsaRlKrVdPT1cg
http://rdfh.ch/081C/dA6Cz4orSx6IkTRbpxabsg,http://rdfh.ch/081C/dA6Cz4orSx6IkTRbpxabsg/values/Vbx9b1RtTrSAfKidoUu9jw
http://rdfh.ch/081C/gBDwV8eWRFuxV0cAT3MF8Q,http://rdfh.ch/081C/gBDwV8eWRFuxV0cAT3MF8Q/values/mgE0mwywT2qK3xLw6HVNPg
http://rdfh.ch/081C/_uCOezU-R9ywznNAIYSTwA,http://rdfh.ch/081C/_uCOezU-R9ywznNAIYSTwA/values/Z60PqYg-T3GhE8VWjfTdfw
