thing,text__Concat
http://rdfh.ch/0801/-NuTaVNwR6yVOL3zsPyoTQ,http://rdfh.ch/0801/-NuTaVNwR6yVOL3zsPyoTQ/values/1gKRbbGrSXqrD1sgHvolRg
http://rdfh.ch/0801/04vY50dKQNawSVAxBKIkMw,http://rdfh.ch/0801/04vY50dKQNawSVAxBKIkMw/values/cX8PsOw6SD2BLmCQb5hKNQ
http://rdfh.ch/0801/5Ah1owj8TVKT-crutA1Zcw,http://rdfh.ch/0801/5Ah1owj8TVKT-crutA1Zcw/values/UHPOP4izTbaAZ-KK3zWgWQ
http://rdfh.ch/0801/5dTQSC-BQA62GtKhhXtWKw,http://rdfh.ch/0801/5dTQSC-BQA62GtKhhXtWKw/values/kcfIS6L0TUqKeKM9-CCvnA
http://rdfh.ch/0801/9iBScafER0ucSAhH96Qx5A,http://rdfh.ch/0801/9iBScafER0ucSAhH96Qx5A/values/eWMYHnTVQkygcPZA6UchPA
http://rdfh.ch/0801/BZEdutfuS0yOaSPZbkjsZw,http://rdfh.ch/0801/BZEdutfuS0yOaSPZbkjsZw/values/VhQaTdqRR6qBQWwvShMyyg
http://rdfh.ch/0801/BygmdzGcQIqIS6s-eYRjDw,http://rdfh.ch/0801/BygmdzGcQIqIS6s-eYRjDw/values/u6vjeDFXQB-Vydp79kdiSQ
http://rdfh.ch/0801/DUiwame0Tq2MHUpx4afXlA,http://rdfh.ch/0801/DUiwame0Tq2MHUpx4afXlA/values/cq9zUG_fSh2yJiz6hKuKUw
http://rdfh.ch/0801/GhTQUBAATDKULhFqvbumCg,http://rdfh.ch/0801/GhTQUBAATDKULhFqvbumCg/values/ajYJOelpTsi3tLX6s8SmYg
http://rdfh.ch/0801/IB2cXaqLQFeyhpLtkNESIw,http://rdfh.ch/0801/IB2cXaqLQFeyhpLtkNESIw/values/Mah008gvTkK3iRoWxVrVyg
http://rdfh.ch/0801/IGLYLUWZSkeNINMiPTLBLw,http://rdfh.ch/0801/IGLYLUWZSkeNINMiPTLBLw/values/Cs-1TPngQZCBdD-rU0fWqw
http://rdfh.ch/0801/KC8qJTpGRsSuUOklvbYA3Q,http://rdfh.ch/0801/KC8qJTpGRsSuUOklvbYA3Q/values/fxZvagu5QRa6UUZDrOVW0Q
http://rdfh.ch/0801/LUTWgSIGRBy_vL675a8tGA,http://rdfh.ch/0801/LUTWgSIGRBy_vL675a8tGA/values/AFAgGTKCQem9HrJMqWcYqA
http://rdfh.ch/0801/QPwfgp8qSGK0gvRAVHEQ4w,http://rdfh.ch/0801/QPwfgp8qSGK0gvRAVHEQ4w/values/m2CVX9nRTYaYkUfc9OS3vA
http://rdfh.ch/0801/Rbzrnqr4SU2QOz07DltbEQ,http://rdfh.ch/0801/Rbzrnqr4SU2QOz07DltbEQ/values/vssB0ZYRTQKcMwBWRbE5fg
http://rdfh.ch/0801/TgPLF5cMSlGyRY7Zc3DDnQ,http://rdfh.ch/0801/TgPLF5cMSlGyRY7Zc3DDnQ/values/VGbuAzuhQaCKq7qNSgqYjA
http://rdfh.ch/0801/V0R8Zup6ReuQWTM-3cp5CQ,http://rdfh.ch/0801/V0R8Zup6ReuQWTM-3cp5CQ/values/LLWllgErQ9KB4i7mbtNyhQ
http://rdfh.ch/0801/X_NcDtKoSeypM85SEVmoLA,http://rdfh.ch/0801/X_NcDtKoSeypM85SEVmoLA/values/UDy7ltW8Tw-O9yXScJ72UQ
http://rdfh.ch/0801/XzCKECG6T3efttv264ZHEw,http://rdfh.ch/0801/XzCKECG6T3efttv264ZHEw/values/sV_opu7JTeOrShHwjp1nGQ
http://rdfh.ch/0801/ZSMQ_f_mTP6vZ_-qrSCT8Q,http://rdfh.ch/0801/ZSMQ_f_mTP6vZ_-qrSCT8Q/values/EZWWnxFuQ8K-MgkZmTgU1A
http://rdfh.ch/0801/bTUiBo9zQ-q4r0E2ENj9kQ,http://rdfh.ch/0801/bTUiBo9zQ-q4r0E2ENj9kQ/values/5DZK8wUOTLyHEdYcFEkR5A
http://rdfh.ch/0801/dC8yHFQ8S-qL91K0_MGBbA,http://rdfh.ch/0801/dC8yHFQ8S-qL91K0_MGBbA/values/9pG6gX4yQFGjrFXx3x34HQ
http://rdfh.ch/0801/foBlCmeRRpO0_g48fmnAMA,http://rdfh.ch/0801/foBlCmeRRpO0_g48fmnAMA/values/VEfOLsbDR32i6Ph1KqwUMw
http://rdfh.ch/0801/gl60mWsMSiWx67rS1oldEA,http://rdfh.ch/0801/gl60mWsMSiWx67rS1oldEA/values/pl3_ETCaTK2NvTXdZuVV1Q
http://rdfh.ch/0801/ip07xSmUT6-NN-DvrNyW1Q,http://rdfh.ch/0801/ip07xSmUT6-NN-DvrNyW1Q/values/UfT9iq2pQeuFtAdIZJ6d_g
