case,layout,run,seconds,rows
S4,D,1,120,-1
S4,A,1,4.22,25
S4,B,1,0.60,25
S4,C,1,10.87,25
S4,A,2,4.03,25
S4,B,2,0.48,25
S4,C,2,10.94,25
S4,A,3,4.14,25
S4,B,3,0.48,25
S4,C,3,10.84,25
S4,A,4,4.05,25
S4,B,4,0.48,25
S4,C,4,10.92,25
S4,A,5,4.11,25
S4,B,5,0.50,25
S4,C,5,10.75,25
S3,A,1,0.14,8
S3,B,1,0.14,8
S3,C,1,0.68,8
S3,A,2,0.14,8
S3,B,2,0.14,8
S3,C,2,0.70,8
S3,A,3,0.15,8
S3,B,3,0.14,8
S3,C,3,0.69,8
S3,A,4,0.15,8
S3,B,4,0.16,8
S3,C,4,0.71,8
S3,A,5,0.16,8
S3,B,5,0.16,8
S3,C,5,0.71,8
S1,A,1,0.20,1
S1,B,1,0.99,1
S1,C,1,1.52,1
S1,D,1,0.21,1
S1,A,2,0.20,1
S1,B,2,0.99,1
S1,C,2,1.52,1
S1,D,2,0.22,1
S1,A,3,0.22,1
S1,B,3,0.99,1
S1,C,3,1.55,1
S1,D,3,0.20,1
S1,A,4,0.20,1
S1,B,4,1.01,1
S1,C,4,1.56,1
S1,D,4,0.19,1
S1,A,5,0.21,1
S1,B,5,0.97,1
S1,C,5,1.53,1
S1,D,5,0.20,1
S2norows,A,1,120,-1
S2norows,B,1,6.27,0
S2norows,C,1,98.76,0
S2norows,A,2,120,-1
S2norows,B,2,6.15,0
S2norows,C,2,98.70,0
S2norows,A,3,120,-1
S2norows,B,3,6.13,0
S2norows,C,3,98.57,0
S2norows,A,4,120,-1
S2norows,B,4,6.11,0
S2norows,C,4,98.32,0
S2norows,A,5,120,-1
S2norows,B,5,6.12,0
S2norows,C,5,98.45,0
S2zero,A,1,120,-1
S2zero,B,1,6.13,0
S2zero,C,1,97.93,0
S2zero,A,2,120,-1
S2zero,B,2,6.13,0
S2zero,C,2,120,-1
S2zero,A,3,120,-1
S2zero,B,3,6.16,0
S2zero,C,3,98.98,0
